word,type,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
hegemony,noun,/hɪˈɡeməni/,/hɪˈdʒɛməni/,domination over others,Britain's hegemony over its colonies was threatened once nationalist sentiment began to spread around the world.,"Bá quyền, Thống trị, Quyền bá chủ","dominance, supremacy, ascendancy","subordination, subservience, dependency"
heinous,adjective,/ˈheɪnəs/,/ˈheɪnəs/,"shockingly wicked, repugnant",The killings were made all the more heinous by the fact that the murderer first tortured his victims for three days.,"tàn bạo, ác độc, ghê tởm","atrocious, nefarious, execrable","laudable, commendable, virtuous"
heterogeneous,adjective,/ˌhetərəˈdʒiːniəs/,/ˌhetəroʊˈdʒiːniəs/,"varied, diverse in character","I hate having only one flavor so I always buy the swirled, or should I say heterogeneous, type of ice cream.","Đa dạng, Hỗn tạp, Không đồng nhất","diverse, disparate, variegated","homogeneous, uniform, consistent"
hiatus,noun,/haɪˈeɪtəs/,/haɪˈeɪtəs/,a break or gap in duration or continuity,The hiatus in service should last two or three months—until the cable lines are repaired .,"khoảng gián đoạn, sự gián đoạn, sự ngắt quãng","intermission, respite, cessation","continuity, duration, resumption"
hierarchy,noun,/ˈhaɪərɑːrki/,/ˈhaɪərɑːrki/,"a system with ranked groups, usually according to social, economic, or professional class",Women found it very difficult to break into the upper ranks of the department's hierarchy.,"Hệ thống cấp bậc, Thứ bậc, Cấp bậc","stratification, pecking order, ranking","egalitarianism, equality, anarchy"
hypocrisy,noun,/hɪˈpɒkrəsi/,/hɪˈpɑːkrəsi/,pretending to believe what one does not,"Once the politician began passing legislation that contradicted his campaign promises, his hypocrisy became apparent.","Sự đạo đức giả, Đạo đức giả, Giả nhân giả nghĩa","dissimulation, pretense, sanctimony","sincerity, candor, authenticity"
hypothetical,adjective,/ˌhaɪpəˈθɛtɪkl̩/,/ˌhaɪpəˈθɛtɪkl̩/,"supposed or assumed true, but unproven","Even though it has been celebrated by seven major newspapers, that the drug will be a success when tested in humans is still hypothetical.","Giả định, Mang tính giả thuyết, Chưa được kiểm chứng","theoretical, conjectured, speculative","actual, proven, factual"
iconoclast,noun,/aɪˈkɒnəklæst/,/aɪˈkɑːnəklæst/,one who attacks common beliefs or institutions,"Jane goes to one protest after another, but she seems to be an iconoclast rather than an activist with a progressive agenda.","Người bài trừ, Người phản truyền thống, Người phá bỏ khuôn mẫu","dissenter, rebel, nonconformist","conformist, traditionalist, devotee"
idiosyncratic,adjective,/ˌɪdiəsɪŋˈkrætɪk/,/ˌɪdioʊsɪŋˈkrætɪk/,peculiar to one person; highly individualized,"I know you had trouble with the last test, but because your mistakes were highly idiosyncratic, I'm going to deny your request that the class be given a new test.","Đặc thù, riêng biệt, có tính cá nhân cao","peculiar, distinctive, eccentric","common, typical, conventional"
idolatrous,adjective,/aɪˈdɒlətrəs/,/aɪˈdɑːlətrəs/,excessively worshipping one object or person,"Xena's idolatrous fawning over the band—following them on tour, starting their fan club, filming their documentary—is really beginning to get on my nerves.","sùng bái, cuồng tín, mê muội","worshipping, adoring, reverent","blasphemous, disrespectful, contemptuous"
ignominious,adjective,/ˌɪɡnəˈmɪniəs/,/ˌɪɡnəˈmɪniəs/,"humiliating, disgracing",It was really ignominious to be kicked out of the dorm for having an illegal gas stove in my room.,"Nhục nhã, ô nhục, đáng xấu hổ","humiliating, disgraceful, shameful","honorable, glorious, reputable"
illicit,adjective,/ɪˈlɪsɪt/,/ɪˈlɪsɪt/,"forbidden, not permitted",The fourth-grader learned many illicit words from a pamphlet that was being passed around school.,"Bậy bạ, tục tĩu, khiếm nhã","unlawful, forbidden, unauthorized","lawful, permissible, legitimate"
immerse,verb,/ɪˈmɜːs/,/ɪˈmɜːrs/,"to absorb, deeply involve, engross","After breaking up with her boyfriend, Nancy decided to immerse herself in her work in order to avoid crying.","Chìm đắm, Vùi mình, Say sưa","submerge, engross, absorb","extract, withdraw, disengage"
immutable,adjective,/ɪˈmjuːtəbəl/,/ɪˈmjuːtəbəl/,not changeable,The laws of physics are immutable and constant.,"Bất biến, không đổi, vĩnh viễn","unalterable, permanent, constant","variable, changeable, fluid"
impassive,adjective,/ɪmˈpæsɪv/,/ɪmˈpæsɪv/,"stoic, not susceptible to suffering",Stop being so impassive; it's healthy to cry every now and then.,"Thản nhiên, Vô cảm, Lãnh đạm","stoic, unemotional, aloof","emotional, expressive, fervent"
impeccable,adjective,/ɪmˈpɛkəbəl/,/ɪmˈpɛkəbəl/,"exemplary, flawless","If your grades were as impeccable as your sister's, then you too would receive a car for a graduation present.","Hoàn hảo, Không tì vết","flawless, perfect, irreproachable","flawed, deficient, erroneous"
impecunious,adjective,/ˌɪmpɪˈkjuːniəs/,/ˌɪmpɪˈkjuːniəs/,poor,"""I fear he's too impecunious to take me out tonight,"" the bratty girl whined.","Nghèo, túng thiếu, khó khăn","impoverished, indigent, penurious","affluent, wealthy, prosperous"
imperative,"adjective, noun",/ɪmˈperətɪv/,/ɪmˈperətɪv/,"1. necessary, pressing 2. a rule, command, or order",It is imperative that you have these folders organized by midday.,"cần thiết, cấp bách, mệnh lệnh","crucial, essential, critical","optional, nonessential, superfluous"
imperious,adjective,/ɪmˈpɪəriəs/,/ɪmˈpɪriəs/,"commanding, domineering",The imperious nature of your manner led me to dislike you at once.,"Hống hách, độc đoán","autocratic, dictatorial, authoritarian","humble, subservient, obsequious"
impertinent,adjective,/ɪmˈpɜːtɪnənt/,/ɪmˈpɜːrtɪnənt/,"rude, insolent",Most of your comments are so impertinent that I don't wish to dignify them with an answer.,"xấc xược, vô lễ, láo xược","impudent, audacious, insolent","deferential, respectful, polite"
impervious,adjective,/ɪmˈpɜːviəs/,/ɪmˈpɜːrviəs/,"impenetrable, incapable of being affected","Because of their thick layer of fur, many seals are almost impervious to the cold.","không thấm, không bị ảnh hưởng, chống chịu","impenetrable, impermeable, invulnerable","vulnerable, susceptible, permeable"
impetuous,adjective,/ɪmˈpɛtʃuəs/,/ɪmˈpɛtʃuəs/,rash; hastily done,"Hilda's hasty slaying of the king was an impetuous, thoughtless action.","Hấp tấp, bồng bột, nông nổi","impulsive, rash, precipitate","cautious, circumspect, deliberate"
impinge,verb,/ɪmˈpɪndʒ/,/ɪmˈpɪndʒ/,"1. to impact, affect, make an impression 2. to encroach, infringe","The hail impinged the roof, leaving large dents.","tác động, xâm phạm, làm phiền","infringe, encroach, intrude","avoid, evade, respect"
implacable,adjective,/ɪmˈplækəbl/,/ɪmˈplækəbl/,incapable of being appeased or mitigated,"Watch out: once you shun Grandma's cooking, she is totally implacable.","Không khoan nhượng, không nguôi, cứng rắn","relentless, unyielding, inexorable","lenient, forgiving, amenable"
implement,"noun, verb",/ˈɪmplɪmɛnt/,/ˈɪmpləˌmɛnt/,"1. an instrument, utensil, tool 2. to put into effect, to institute",Do you have a knife or some other sort of implement that I could use to pry the lid off of this jar?,"công cụ, dụng cụ
thực hiện, triển khai, áp dụng","execute, effectuate, actualize","abandon, postpone, impede"
implicate,verb,/ˈɪmplɪkeɪt/,/ˈɪmplɪkeɪt/,"to involve in an incriminating way, incriminate","Even though Tom wasn't present at the time of the shooting, he was implicated by the evidence suggesting that he had supplied the shooters with guns.","Dính líu, Liên lụy, Vướng vào","incriminate, inculpate, entangle","absolve, exculpate, exonerate"
implicit,adjective,/ɪmˈplɪsɪt/,/ɪmˈplɪsɪt/,"understood but not outwardly obvious, implied","I know Professor Smith didn't actually say not to write from personal experience, but I think such a message was implicit in her instruction to use scholarly sources.","ngụ ý, ẩn ý, ám chỉ","unspoken, inherent, tacit","explicit, stated, overt"
impregnable,adjective,/ɪmˈprɛɡnəbəl/,/ɪmˈprɛɡnəbəl/,resistant to capture or penetration,"Though the invaders used battering rams, catapults, and rain dances, the fortress proved impregnable and resisted all attacks.","Không thể công phá, Bất khả xâm phạm, Kiên cố","invulnerable, unassailable, formidable","vulnerable, penetrable, assailable"
impudent,adjective,/ˈɪmpjʊdənt/,/ˈɪmpjədənt/,"casually rude, insolent, impertinent",The impudent young man looked the princess up and down and told her she was hot even though she hadn't asked him.,"Vô lễ, Hỗn xược, Trơ tráo","insolent, impertinent, audacious","respectful, deferential, courteous"
impute,verb,/ɪmˈpjuːt/,/ɪmˈpjuːt/,"to ascribe, blame",The CEO imputed the many typos in the letter to his lazy secretary.,"đổ lỗi, quy kết, gán cho","attribute, ascribe, assign","exonerate, absolve, exculpate"
inane,adjective,/ɪˈneɪn/,/ɪˈneɪn/,silly and meaningless,Some films are so inane that the psychology of the characters makes absolutely no sense.,"Nhảm nhí, vô nghĩa, ngớ ngẩn","foolish, vapid, puerile","profound, sagacious, judicious"
inarticulate,adjective,/ˌɪnɑːˈtɪkjʊlət/,/ˌɪnɑːrˈtɪkjʊlət/,incapable of expressing oneself clearly through speech,"Though he spoke for over an hour, the lecturer was completely inarticulate and the students had no idea what he was talking about.","Không rõ ràng, không mạch lạc, lộn xộn","incoherent, mumbling, tongue-tied","eloquent, articulate, coherent"
incarnate,"adjective, verb",/ɪnˈkɑːnət/,/ɪnˈkɑːrnət/,"1. existing in the flesh, embodied 2. to give human form to","In the church pageant, I play the role of greed incarnate.","hiện thân, hóa thân","embodied, personified, materialized","disembodied, ethereal, immaterial"
incendiary,"noun, adjective",/ɪnˈsɛndiəri/,/ɪnˈsɛndiˌɛri/,"1. a person who agitates 2. inflammatory, causing combustion","If we catch the incendiary who screamed ""bomb"" in the middle of the soccer match, we're going to put him in jail.","Gây cháy, dễ cháy, bắt lửa","inflammatory, provocative, seditious","peacemaking, conciliatory, appeasing"
incessant,adjective,/ɪnˈsɛsənt/,/ɪnˈsɛsənt/,unending,"We wanted to go outside and play, but the incessant rain kept us indoors for two days.","Không ngớt, không ngừng, liên tục","ceaseless, perpetual, unremitting","intermittent, sporadic, periodic"
inchoate,adjective,/ɪnˈkəʊət/,/ɪnˈkoʊət/,"unformed or formless, in a beginning stage","The country's government is still inchoate and, because it has no great tradition, quite unstable.","Sơ khai, non trẻ, chưa định hình","nascent, embryonic, rudimentary","developed, mature, refined"
incisive,adjective,/ɪnˈsaɪsɪv/,/ɪnˈsaɪsɪv/,"clear, sharp, direct",The discussion wasn't going anywhere until her incisive comment allowed everyone to see what the true issues were.,"sắc sảo, sắc bén, sâu sắc","acute, penetrating, keen","vague, obtuse, superficial"
inclination,noun,/ˌɪnklɪˈneɪʃn̩/,/ˌɪnkləˈneɪʃən/,"a tendency, propensity","Sarah has an inclination to see every foreign film she hears about, even when she's sure that she won't like it.","Khuynh hướng, thiên hướng","propensity, proclivity, penchant","aversion, disinclination, reluctance"
incontrovertible,adjective,/ɪnˌkɒntrəˈvɜːtəbl̩/,/ɪnˌkɑːntrəˈvɜːrtəbl̩/,indisputable,Only stubborn Tina would attempt to disprove the incontrovertible laws of physics.,"Không thể chối cãi, không thể bác bỏ","irrefutable, undeniable, indubitable","questionable, debatable, dubious"
incorrigible,adjective,/ɪnˈkɒrɪdʒəbl̩/,/ɪnˈkɔːrɪdʒəbl̩/,"incapable of correction, delinquent","You can buy Grandma nicotine gum all you want, but I think that after sixty-five years of smoking she's incorrigible.","Bất trị, hết thuốc chữa, ngoan cố","unreformable, irredeemable, intractable","reformable, manageable, amenable"
increment,noun,/ˈɪnkrəmənt/,/ˈɪnkrəmənt/,an enlargement; the process of increasing,"The workmen made the wall longer, increment by increment.","phần tăng thêm, bước tăng, sự tăng thêm","augmentation, addition, accretion","decrement, reduction, diminution"
incumbent,"noun, adjective",/ɪnˈkʌmbənt/,/ɪnˈkʌmbənt/,1. one who holds an office 2. obligatory,The incumbent senator is already serving his fifth term.,"Người đương nhiệm, bắt buộc","obligatory, requisite, binding","discretionary, optional, voluntary"
indefatigable,adjective,/ˌɪndɪˈfætɪɡəbəl/,/ˌɪndɪˈfætɪɡəbəl/,"incapable of defeat, failure, decay","Even after traveling 62 miles, the indefatigable runner kept on moving.","Không mệt mỏi, bền bỉ, dẻo dai","tireless, unflagging, tenacious","languid, lethargic, enervated"
indigenous,adjective,/ɪnˈdɪdʒɪnəs/,/ɪnˈdɪdʒənəs/,originating in a region,"Some fear that these plants, which are not indigenous to the region, may choke out the vegetation that is native to the area.","bản địa, thổ địa, gốc địa phương","native, aboriginal, endemic","exotic, foreign, alien"
indigent,adjective,/ˈɪndɪdʒənt/,/ˈɪndɪdʒənt/,"very poor, impoverished",I would rather donate money to help the indigent population than to the park sculpture fund.,"Nghèo đói, cơ cực, bần cùng","impoverished, destitute, penurious","affluent, opulent, prosperous"
indignation,noun,/ˌɪndɪɡˈneɪʃən/,/ˌɪndɪɡˈneɪʃən/,anger sparked by something unjust or unfair,I resigned from the sorority because of my indignation at its hazing of new members.,"Phẫn nộ, Sự phẫn uất, Bất bình","outrage, resentment, exasperation","serenity, contentment, approbation"
indolent,adjective,/ˈɪndələnt/,/ˈɪndələnt/,lazy,"Why should my indolent children, who can't even pick themselves up off the couch to pour their own juice, be rewarded with a trip to the mall?","Lười biếng, lười nhác, biếng nhác","languid, lethargic, lackadaisical","assiduous, diligent, industrious"
indomitable,adjective,/ɪnˈdɒmɪtəbl/,/ɪnˈdɑːmɪtəbl/,not capable of being conquered,"To be honest, Jim, my indomitable nature means I could never take orders from anyone, and especially not from a jerk like you.","Bất khuất, kiên cường, không thể bị khuất phục","resolute, tenacious, unyielding","pusillanimous, malleable, submissive"
induce,verb,/ɪnˈdjuːs/,/ɪnˈduːs/,"to bring about, stimulate",Who knew that our decision to boycott school lunch would induce a huge riot?,"Gây ra, dẫn đến, kích động","engender, precipitate, instigate","impede, deter, suppress"
ineffable,adjective,/ɪnˈɛfəbl/,/ɪnˈɛfəbl/,"unspeakable, incapable of being expressed through words",It is said that the experience of playing with a dolphin is ineffable and can only be understood through direct encounter.,"Không thể diễn tả, vô phương diễn tả, không thể tả xiết","transcendent, ethereal, incommunicable","expressible, definable, discernible"
inept,adjective,/ɪnˈɛpt/,/ɪnˈɛpt/,"not suitable or capable, unqualified",She proved how inept she was when she forgot three orders and spilled a beer in a customer's lap.,"Vụng về, bất tài, kém cỏi","maladroit, bumbling, gauche","adroit, dexterous, proficient"
inexorable,adjective,/ɪnˈɛksərəbəl/,/ɪnˈɛksərəbəl/,incapable of being persuaded or placated,"Although I begged for hours, Mom was inexorable and refused to let me stay out all night after the prom.","Kiên quyết, không lay chuyển, không khoan nhượng","relentless, unyielding, implacable","flexible, yielding, pliant"
inextricable,adjective,/ˌɪnɪkˈstrɪkəbəl/,/ˌɪnɪkˈstrɪkəbəl/,hopelessly tangled or entangled,"Unless I look at the solution manual, I have no way of solving this inextricable problem.","Nan giải, khó gỡ, rối rắm","inseparable, intricate, entangled","separable, detachable, disentangled"
infamy,noun,/ˈɪnfəmi/,/ˈɪnfəmi/,"notoriety, extreme ill repute",The infamy of his crime will not lessen as the decades pass.,"Tai tiếng, Ô nhục, Tiếng xấu","notoriety, disgrace, opprobrium","renown, honor, repute"
infusion,noun,/ɪnˈfjuːʒən/,/ɪnˈfjuːʒən/,an injection of one substance into another; the permeation of one substance by another,The infusion of Eastern religion into Western philosophy created interesting new schools of thought.,"Sự du nhập, sự pha trộn, sự thấm nhuần","instillation, permeation, admixture","extraction, withdrawal, depletion"
ingenious,adjective,/ɪnˈdʒiːniəs/,/ɪnˈdʒiːniəs/,"clever, resourceful",Her ingenious use of walnuts instead of the peanuts called for by the recipe was lauded by the other garden club members who found her cake delicious.,"Khéo léo, Tài tình, Sáng tạo","clever, inventive, resourceful","unoriginal, unimaginative, pedestrian"
ingenuous,adjective,/ɪnˈdʒɛnjuːəs/,/ɪnˈdʒɛnjəwəs/,not devious; innocent and candid,"He must have writers, but his speeches seem so ingenuous it's hard to believe he's not speaking from his own heart.","Chân thật, thật thà, ngây thơ","guileless, artless, candid","cunning, sophisticated, disingenuous"
inhibit,verb,/ɪnˈhɪbɪt/,/ɪnˈhɪbɪt/,"to prevent, restrain, stop","When I told you I needed the car last night, I certainly never meant to inhibit you from going out.","ngăn cản, kìm hãm, cản trở","obstruct, impede, curtail","facilitate, stimulate, promote"
inimical,adjective,/ɪˈnɪmɪkəl/,/ɪˈnɪmɪkəl/,"hostile, enemylike",I don't see how I could ever work for a company that was so cold and inimical to me during my interviews.,"Thù địch, đối địch","antagonistic, adverse, deleterious","amicable, propitious, benevolent"
iniquity,noun,/ɪˈnɪkwɪti/,/ɪˈnɪkwɪti/,wickedness or sin,"""Your iniquity,"" said the priest to the practical jokester, ""will be forgiven.""","tội lỗi, sự gian ác, tội ác","immorality, villainy, depravity","virtue, rectitude, probity"
injunction,noun,/ɪnˈdʒʌŋkʃən/,/ɪnˈdʒʌŋkʃən/,an order of official warning,"After his house was toilet-papered for the fifth time, the mayor issued an injunction against anyone younger than 21 buying toilet paper.","Lệnh cấm, chỉ thị, mệnh lệnh","edict, mandate, prohibition","permission, sanction, allowance"
innate,adjective,/ɪˈneɪt/,/ɪˈneɪt/,"inborn, native, inherent","His incredible athletic talent is innate, he never trains, lifts weights, or practices.","bẩm sinh, thiên phú, vốn có","inherent, intrinsic, congenital","acquired, learned, extrinsic"
innocuous,adjective,/ɪˈnɒkjuəs/,/ɪˈnɑːkjuəs/,"harmless, inoffensive","In spite of their innocuous appearance, these mushrooms are actually quite poisonous.","vô hại, lành tính, hiền lành","harmless, benign, innocuous","harmful, deleterious, noxious"
innovate,verb,/ˈɪnəveɪt/,/ˈɪnəveɪt/,to do something in an unprecedented way,"Because of the stiff competition, the company knew it needed to pour a lot of energy into innovating new and better products.","Đổi mới, cách tân, sáng tạo","invent, revolutionize, pioneer","imitate, replicate, conserve"
innuendo,noun,/ɪnjuˈendəʊ/,/ɪnjuˈendoʊ/,an insinuation,"During the debate, the politician made several innuendos about the sexual activities of his opponent.","ám chỉ, lời bóng gió, sự ám chỉ","insinuation, implication, aspersion","declaration, statement, pronouncement"
inoculate,verb,/ɪˈnɒkjuleɪt/,/ɪˈnɑːkjəˌleɪt/,"to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate",I've feared needles ever since I was inoculated against 37 diseases at age one; but I have also never been sick.,"Tiêm chủng, chích ngừa, tiêm vắc-xin","vaccinate, immunize, inject","contaminate, infect, sicken"
inquisitor,noun,/ɪnˈkwɪzɪtə/,/ɪnˈkwɪzɪtər/,"one who inquires, especially in a hostile manner",The inquisitor was instructed to knock on every door in town in order to find the fugitive.,"Người thẩm vấn, Người hỏi cung, Điều tra viên","investigator, examiner, questioner","respondent, interviewee, witness"
insatiable,adjective,/ɪnˈseɪʃəbl/,/ɪnˈseɪʃəbl/,incapable of being satisfied,My insatiable appetite for melons can be a real problem in the winter.,"Vô độ, không đáy","unquenchable, voracious, gluttonous","satiable, content, fulfilled"
insidious,adjective,/ɪnˈsɪdiəs/,/ɪnˈsɪdiəs/,"appealing but imperceptibly harmful, seductive",Lisa's insidious chocolate cake tastes so good but makes you feel so sick later on!,"Thâm độc, Ngầm hại, Ngấm ngầm","treacherous, surreptitious, perfidious","straightforward, forthright, candid"
insinuate,verb,/ɪnˈsɪnjuət/,/ɪnˈsɪnjuət/,to suggest indirectly or subtly,I wish Luke and Spencer would stop insinuating that my perfect report card is the result of anything other than my superior intelligence and good work habits.,"Ám chỉ, Ngụ ý","imply, intimate, allude","declare, proclaim, state"
insipid,adjective,/ɪnˈsɪpɪd/,/ɪnˈsɪpɪd/,"dull, boring","The play was so insipid, I fell asleep halfway through.","nhạt nhẽo, tẻ nhạt, vô vị","bland, vapid, prosaic","flavorful, piquant, stimulating"
insolent,adjective,/ˈɪnsələnt/,/ˈɪnsələnt/,"rude, arrogant, overbearing","That celebrity is so insolent, making fun of his fans right to their faces.","Hỗn xược, hống hách, trơ trẽn","impudent, audacious, brazen","deferential, respectful, courteous"
instigate,verb,/ˈɪnstɪɡeɪt/,/ˈɪnstɪˌɡeɪt/,"to urge, goad",The demagogue instigated the crowd into a fury by telling them that they had been cheated by the federal government.,"Kích động, Xúi giục, Khích động","foment, abet, incite","quell, deter, suppress"
insular,adjective,/ˈɪnsjʊlə/,/ˈɪnsələr/,"separated and narrow-minded; tight-knit, closed off","Because of the sensitive nature of their jobs, those who work for the CIA must remain insular and generally only spend time with each other.","khép kín, biệt lập, thiển cận","provincial, parochial, isolated","cosmopolitan, global, expansive"
insurgent,noun,/ɪnˈsɜːdʒənt/,/ɪnˈsɜːrdʒənt/,one who rebels,The insurgent snuck into and defaced a different classroom each night until the administration agreed to meet his demands.,"Kẻ nổi dậy, Phiến quân, Kẻ phản loạn","rebellious, factious, mutinous","compliant, loyal, subservient"
integral,adjective,/ˈɪntɪɡrəl/,/ˈɪntɪɡrəl/,necessary for completeness,"Without the integral ingredient of flour, you wouldn't be able to make bread.","Thiết yếu, Không thể thiếu, Chủ chốt","indispensable, fundamental, intrinsic","superfluous, extraneous, peripheral"
interject,verb,/ˌɪntəˈdʒɛkt/,/ˌɪntərˈdʒɛkt/,to insert between other things,"During our conversation, the cab driver occasionally interjected his opinion.","Xen vào, Chêm vào, Lồng vào","interrupt, interpose, inject","withhold, omit, defer"
interlocutor,noun,/ˌɪntəˈlɒkjʊtə/,/ˌɪntərˈlɑːkjətər/,someone who participates in a dialogue or conversation,"When the officials could not come to an agreement over the correct cover of the flags, the prime minister acted as an interlocutor.","Người đối thoại, Người trung gian, Người đàm phán","conversationalist, speaker, participant","listener, observer, audience"
interminable,adjective,/ɪnˈtɜːmɪnəbl/,/ɪnˈtɜːrmɪnəbl/,without possibility of end,The fact that biology lectures came just before lunch made them seem interminable.,"Dài lê thê, dài dằng dặc, không hồi kết","unending, incessant, perpetual","brief, fleeting, transient"
intimation,noun,/ˌɪntɪˈmeɪʃn/,/ˌɪntəˈmeɪʃn/,an indirect suggestion,Mr. Brinford's intimation that he would soon pass away occurred when he began to discuss how to distribute his belongings among his children.,"Ám chỉ, bóng gió, ý tứ","hint, suggestion, insinuation","declaration, statement, pronouncement"
intractable,adjective,/ɪnˈtræktəbl/,/ɪnˈtræktəbl/,"difficult to manipulate, unmanageable",There was no end in sight to the intractable conflict between the warring countries.,"Dai dẳng, Khó giải quyết, Bất trị","stubborn, obstinate, refractory","docile, compliant, amenable"
intransigent,adjective,/ɪnˈtrænsɪdʒənt/,/ɪnˈtrænsɪdʒənt/,"refusing to compromise, often on an extreme opinion","The intransigent child said he would have 12 scoops of ice cream, or he would bang his head against the wall until his mother fainted from fear.","Không khoan nhượng, cứng rắn, ngang ngạnh","uncompromising, unyielding, obdurate","pliant, amenable, docile"
intrepid,adjective,/ɪnˈtrɛpɪd/,/ɪnˈtrɛpɪd/,brave in the face of danger,"After scaling a live volcano prior to its eruption, the explorer was praised for his intrepid attitude.","Dũng cảm, gan dạ, can đảm","courageous, valiant, audacious","timorous, pusillanimous, craven"
inundate,verb,/ˈɪnʌndeɪt/,/ˈɪnənˌdeɪt/,to flood with abundance,"Because I am the star of a new sitcom, my fans are sure to inundate me with fan mail and praise.","Tràn ngập, Ngập tràn","overwhelm, deluge, engulf","drain, parch, desiccate"
inure,verb,/ɪˈnjʊə/,/ɪˈnjʊər/,to cause someone or something to become accustomed to a situation,Twenty years in the salt mines inured the man to the discomforts of dirt and grime.,"tôi luyện, rèn luyện, làm cho chai lì","habituate, acclimate, harden","sensitize, soften, disaccustom"
invective,noun,/ɪnˈvɛktɪv/,/ɪnˈvɛktɪv/,an angry verbal attack,My mother's irrational invective against the way I dress only made me decide to dye my hair green.,"lời mắng chửi, lời chỉ trích gay gắt, lời lăng mạ","vitriol, denunciation, opprobrium","commendation, eulogy, approbation"
inveterate,adjective,/ɪnˈvetərət/,/ɪnˈvetərət/,stubbornly established by habit,I'm the first to admit that I'm an inveterate coffee drinker—I drink four cups a day.,"mãn tính, lâu năm, ăn sâu","entrenched, ingrained, chronic","nascent, fledgling, incipient"
inviolable,adjective,/ɪnˈvaɪələbəl/,/ɪnˈvaɪələbəl/,secure from assault,Nobody was ever able to break into Batman's inviolable Batcave.,"Bất khả xâm phạm, Bất khả công phá","sacrosanct, unassailable, hallowed","profanable, assailable, vulnerable"
irascible,adjective,/ɪˈræsɪbəl/,/ɪˈræsɪbəl/,easily angered,"At the smallest provocation, my irascible cat will begin scratching and clawing.","Dễ nổi nóng, nóng nảy, cáu kỉnh","fractious, peevish, cantankerous","placid, equable, genial"
iridescent,adjective,/ˌɪrɪˈdesənt/,/ˌɪrɪˈdesənt/,showing rainbow colors,The bride's large diamond ring was iridescent in the afternoon sun.,"ngũ sắc, óng ánh, lấp lánh","opalescent, prismatic, nacreous","monochromatic, lusterless, dull"
irreverence,noun,/ɪˈrevərəns/,/ɪˈrevərəns/,disrespect,The irreverence displayed by the band that marched through the chapel disturbed many churchgoers.,"sự bất kính, sự thiếu tôn trọng","disrespect, disdain, blasphemy","veneration, deference, reverence"
irrevocable,adjective,/ɪˈrɛvəkəbəl/,/ɪˈrɛvəkəbəl/,incapable of being taken back,The Bill of Rights is an irrevocable part of American law.,"Không thể thu hồi, Không thể hủy bỏ, Bất di bất dịch","permanent, irreversible, unalterable","mutable, reversible, alterable"
jubilant,adjective,/ˈdʒuːbɪlənt/,/ˈdʒuːbɪlənt/,"extremely joyful, happy",The crowd was jubilant when the firefighter carried the woman from the flaming building.,"hân hoan, vui sướng, phấn khởi","exultant, ecstatic, triumphant","despondent, mournful, dejected"
judicious,adjective,/dʒuːˈdɪʃəs/,/dʒuˈdɪʃəs/,having or exercising sound judgment,"When the judicious king decided to compromise rather than send his army to its certain death, he was applauded.","khôn ngoan, sáng suốt, thận trọng","sagacious, prudent, discerning","imprudent, injudicious, indiscreet"
juxtaposition,noun,/ˌdʒʌkstəpəˈzɪʃən/,/ˌdʒʌkstəpəˈzɪʃən/,the act of placing two things next to each other for implicit comparison,The interior designer admired my juxtaposition of the yellow couch and green table.,"Sự đặt cạnh nhau, Sự đối chiếu","adjacency, proximity, apposition","dissociation, segregation, detachment"
knell,noun,/nɛl/,/nɛl/,"the solemn sound of a bell, often indicating a death","Echoing throughout our village, the funeral knell made the stormy day even more grim.","Tiếng chuông tang, Hồi chuông báo tử, Tiếng chuông vĩnh biệt","dirge, peal, toll","inauguration, genesis, commencement"
kudos,noun,/ˈkjuːdɒs/,/ˈkuːdoʊs/,praise for an achievement,"After the performance, the reviewers gave the opera singer kudos for a job well done.","Biểu dương, sự tán thưởng, tán dương","acclaim, approbation, encomium","opprobrium, ignominy, disparagement"
laceration,noun,/ˌlæsəˈreɪʃən/,/ˌlæsəˈreɪʃən/,"a cut, tear","Because he fell off his bike into a rosebush, the paperboy's skin was covered with lacerations.","Vết rách, vết cắt, vết thương rách","gash, rend, rupture","suture, closure, mending"
laconic,adjective,/ləˈkɒnɪk/,/ləˈkɑːnɪk/,terse in speech or writing,The author's laconic style has won him many followers who dislike wordiness.,"Súc tích, cô đọng, ngắn gọn","pithy, succinct, terse","loquacious, verbose, garrulous"
languid,adjective,/ˈlæŋɡwɪd/,/ˈlæŋɡwɪd/,sluggish from fatigue or weakness,"In the summer months, the great heat makes people languid and lazy.","Uể oải, lờ đờ, mệt mỏi","listless, lethargic, sluggish","vibrant, energetic, vivacious"
larceny,noun,/ˈlɑːsəni/,/ˈlɑːrsəni/,obtaining another's property by theft or trickery,"When my car was not where I had left it, I realized that I was a victim of larceny.","Trộm cắp, Tội trộm cắp, Hành vi trộm cắp","pilfering, thievery, peculation","restitution, recompense, donation"
largess,noun,/ˈlɑːdʒɛs/,/lɑːrˈdʒɛs/,the generous giving of lavish gifts,My boss demonstrated great largess by giving me a new car.,"Hào phóng, Rộng lượng, Khoản ban phát","munificence, benevolence, philanthropy","parsimony, avarice, stinginess"
