word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
appropriate,verb,c2,/əˈprəʊpriət/,/əˈproʊpriət/,Set aside or authorize (such as money) for a particular purpose; take for one's own use,The committee decided to appropriate funds for the new research initiative.,"Phân bổ, Chiếm dụng, Chiếm đoạt","allocate, designate, earmark","withhold, relinquish, divert"
arbiter,noun,c2,/ˈɑːbɪtə/,/ˈɑːrbɪtər/,"Judge, umpire, person empowered to decide matters at hand","As the arbiter of fashion, she dictated what was considered chic and what was not.","Trọng tài, Người phân xử, Người quyết định","adjudicator, umpire, magistrate","litigant, partisan, subordinate"
ardent,adjective,c2,/ˈɑːdnt/,/ˈɑːrdənt/,"Very passionate, devoted, or enthusiastic","He was an ardent admirer of classical music, often spending hours listening to symphonies.","Nồng nhiệt, Say đắm, Nhiệt thành","zealous, fervent, vehement","apathetic, indifferent, dispassionate"
arrogate,verb,c2,/ˈærəɡeɪt/,/ˈærəɡeɪt/,Claim or take presumptuously or without the right to do so,The ambitious junior manager tried to arrogate the responsibilities of his superior.,"Chiếm đoạt, Tự cho mình quyền, Thâu tóm","usurp, appropriate, encroach","relinquish, concede, renounce"
ascribe,verb,c2,/əˈskraɪb/,/əˈskraɪb/,Assign or credit to a certain cause or source,She ascribed her longevity to a healthy diet and daily exercise.,"Gán cho, Quy cho, Cho là do","attribute, impute, accredit","exonerate, absolve, disclaim"
aseptic,adjective,c2,/eɪˈseptɪk/,/eɪˈseptɪk/,Free from germs,The hospital uses aseptic techniques to prevent the spread of infections.,"Vô trùng, Sạch khuẩn, Không nhiễm khuẩn","sterile, sanitized, disinfected","contaminated, septic, polluted"
asperity,noun,c2,/əˈsperəti/,/əˈsperɪti/,"Rigor, severity; harshness or sharpness of tone; roughness of surface",The teacher's asperity in her voice made the students realize the seriousness of the situation.,"Khắc nghiệt, Gay gắt, Thô ráp","acrimony, acerbity, austerity","benevolence, clemency, affability"
aspersions,noun,c2,/əˈspɜːʃənz/,/əˈspɜːrʒənz/,"Damaging remarks, defamation, slander",He tried to cast aspersions on his opponent's reputation during the political debate.,"Phỉ báng, Vu khống, Bôi nhọ","calumny, vilification, denigration","commendation, laudation, vindication"
assail,verb,c2,/əˈseɪl/,/əˈseɪl/,"Attack violently, assault",The critics assailed the new movie for its poor script and weak acting.,"Tấn công, Công kích, Đánh phá","pummel, castigate, inveigh","laud, mollify, succor"
assiduous,adjective,c2,/əˈsɪdjuəs/,/əˈsɪdʒuəs/,"Persevering, diligent, constant","The assiduous student spent hours in the library, meticulously reviewing every detail for the exam.","cần cù, kiên trì, bền bỉ","diligent, sedulous, industrious","indolent, lackadaisical, remiss"
attenuate,verb,c2,/əˈtenjueɪt/,/əˈtenjueɪt/,Weaken or thin out,"The thick fog began to attenuate the sunlight, making the afternoon seem like dusk.","Làm yếu đi, làm loãng, làm giảm nhẹ","mitigate, dilute, undermine","amplify, fortify, reinforce"
attuned,adjective,c2,/əˈtjuːnd/,/əˈtuːnd/,In harmony; in sympathetic relationship,The experienced musician was so attuned to subtle changes in tempo that he could detect any slight error.,"Hòa hợp, Đồng điệu, Ăn ý","synchronized, receptive, perceptive","discordant, insensitive, oblivious"
augury,noun,c2,/ˈɔːɡjʊri/,/ˈɔːɡjəri/,"Telling the future, such as through supernatural means",Ancient civilizations often looked to the flight of birds as an augury of future events.,"Điềm báo, Bói toán, Tiên tri","divination, prognostication, prophecy","hindsight, improvidence, unpredictability"
august,adjective,c2,/ɔːˈɡʌst/,/ɔːˈɡʌst/,"Venerable, majestic; inspiring admiration","The queen delivered her speech from the august throne, a symbol of her long and venerable reign.","Uy nghi, Tôn nghiêm, Trang nghiêm","venerable, exalted, sublime","ignoble, contemptible, abject"
avarice,noun,c2,/ˈævərɪs/,/ˈævərɪs/,Insatiable greed; a miserly desire to hoard wealth,"His insatiable avarice led him to hoard wealth and exploit every opportunity for personal gain, regardless of the ethical cost.","Tham lam, Lòng tham, Tham phú","cupidity, rapacity, covetousness","munificence, altruism, liberality"
axiom,noun,c2,/ˈæksiəm/,/ˈæksiəm/,Self-evident truth requiring no proof; universally or generally accepted principle,It is an almost universally accepted axiom that treating others with respect will generally earn you respect in return.,"Tiên đề, Chân lý hiển nhiên, Nguyên tắc cơ bản","postulate, tenet, maxim","fallacy, paradox, contention"
balloon,verb,c2,/bəˈluːn/,/bəˈluːn/,Swell or puff out; increase rapidly,"The cost of living in the city continued to balloon, making it difficult for many residents to afford basic necessities.","Tăng vọt, Phồng lên, Phình ra","proliferate, escalate, burgeon","dwindle, contract, abate"
banal,adjective,c2,/bəˈnɑːl/,/bəˈnɑːl/,Lacking freshness and originality; cliché,"Critics dismissed the new romantic comedy as a banal and predictable film, filled with worn-out clichés.","Tầm thường, Sáo rỗng, Vô vị","trite, hackneyed, platitudinous","original, novel, profound"
bane,noun,c2,/beɪn/,/beɪn/,Something that ruins or spoils,"The constant buzzing of mosquitoes was the bane of our camping trip, making every evening uncomfortable.","Mối họa, Tác nhân gây hại, Vật phá hoại","scourge, plague, affliction","boon, panacea, salvation"
baying,Noun,c2,/ˈbeɪ.ɪŋ/,/ˈbeɪ.ɪŋ/,"Howling in a deep way, like a dog or wolf",The constant baying from the distant kennel made it difficult to sleep.,"Hú, Tru, Gào","ululating, bellowing, vociferating","muffling, subduing, quelling"
beneficent,Adjective,c2,/bɪˈnɛf.ɪs.ənt/,/bəˈnɛf.ɪs.ənt/,Doing good,The beneficent organization provided food and shelter to the homeless.,"Nhân đức, Bác ái, Thiện lương","benevolent, altruistic, philanthropic","malevolent, pernicious, malicious"
bent,Noun,c2,/bɛnt/,/bɛnt/,Personal inclination or tendency,"He had a natural bent for engineering, always tinkering with machines.","Thiên hướng, Khuynh hướng, Năng khiếu","predilection, propensity, penchant","aversion, disinclination, antipathy"
besiege,Verb,c2,/bɪˈsiːdʒ/,/bɪˈsiːdʒ/,"Attack, overwhelm, crowd in on or surround","The protestors continued to besiege the embassy, demanding action.","vây hãm, bao vây, quây hãm","encompass, overwhelm, beleaguer","liberate, disengage, relieve"
bevy,Noun,c2,/ˈbɛv.i/,/ˈbɛv.i/,Group of birds or other animals that stay close together; any large group,A bevy of journalists waited outside the courthouse for the verdict.,"đàn, bầy, đám","throng, multitude, assemblage","singularity, dearth, paucity"
bilk,verb,c2,/bɪlk/,/bɪlk/,Cheat or defraud,The con artist attempted to bilk the unsuspecting tourists out of their money with a fake charity scheme.,"Lừa đảo, Gian lận, Lừa gạt","defraud, swindle, fleece","reimburse, compensate, honor"
blight,noun,c2,/blaɪt/,/blaɪt/,"Disease that kills plants rapidly, or any cause of decay or destruction (noun); ruin or cause to wither (verb)","The drought was a blight on the farmer's crops, causing significant losses.","Bệnh bạc lá, Mầm mống tai họa, Thui chột","scourge, bane, pestilence","boon, panacea, invigoration"
blithe,adjective,c2,/blaɪð/,/blaɪð/,"Joyous, merry; excessively carefree (so as to ignore more important concerns)",His blithe disregard for the warnings about the icy roads resulted in a minor accident.,"Vô tư, Vô lo, Nhởn nhơ","insouciant, jocund, heedless","pensive, solicitous, somber"
bombastic,adjective,c2,/bɒmˈbæstɪk/,/bɑːmˈbæstɪk/,(Of speech or writing) far too showy or dramatic than is appropriate; pretentious,The CEO's bombastic claims about the company's future were met with skepticism by the investors.,"hùng hồn rỗng tuếch, ba hoa khoác lác, đao to búa lớn","grandiloquent, pompous, turgid","concise, succinct, unpretentious"
bonhomie,noun,c2,/ˌbɒnəˈmiː/,/ˌbɑːnəˈmiː/,"Friendliness, open and simple good heartedness","The gathering was marked by a general atmosphere of bonhomie, as old friends reconnected and shared stories.","Thân thiện, Hòa nhã, Bản tính tốt bụng","geniality, cordiality, amiability","animosity, churlishness, acrimony"
brandish,verb,c2,/ˈbrændɪʃ/,/ˈbrændɪʃ/,"Shake, wave, or flourish, as a weapon","The protester began to brandish a sign with a defiant message, drawing attention from the crowd.","vung, khua, múa","flourish, wield, flaunt","conceal, sheathe, stow"
brook,verb,c2,/brʊk/,/brʊk/,Suffer or tolerate,"The autocratic leader would brook no dissent from his subordinates, expecting absolute obedience.","Chịu đựng, Nhẫn nhịn, Dung thứ","endure, countenance, condone","repudiate, prohibit, oppose"
bucolic,adjective,c2,/bjuːˈkɒlɪk/,/bjuːˈkɑːlɪk/,Pertaining to shepherds; suggesting a peaceful and pleasant view of rural life,"We enjoyed a peaceful, bucolic retreat in the countryside, far from the city's hustle and bustle.","Thơ mộng, Điền viên, Mục đồng","pastoral, idyllic, arcadian","squalid, dystopian, tumultuous"
burnish,verb,c2,/ˈbɜːnɪʃ/,/ˈbɜːrnɪʃ/,"Polish, make smooth and lustrous",The artisan used a soft cloth to burnish the brass sculpture until it shone with a brilliant luster.,"đánh bóng, đánh láng, làm nhẵn bóng","Refine, Furbish, Hone","Tarnish, Corrode, Sully"
calumny,noun,c2,/ˈkæləmni/,/ˈkæləmni/,Malicious lie intended to hurt someone's reputation; the act of telling such lies,"The politician was a victim of calumny, as false rumors about his past were spread to damage his reputation.","Vu khống, Phỉ báng, Bôi nhọ","defamation, slander, aspersion","vindication, exoneration, acclaim"
canard,noun,c2,/kəˈnɑːd/,/kəˈnɑːrd/,"Rumor, a false or baseless story","The popular story about alligators in the sewers turned out to be a widely believed canard, lacking any factual basis.","Tin vịt, Chuyện bịa đặt, Tin đồn nhảm","hoax, fabrication, myth","veracity, corroboration, authenticity"
cardinal,adjective,c2,/ˈkɑːdɪnəl/,/ˈkɑːrdɪnəl/,"Chief, most important",Respect for human life is a cardinal principle of most ethical systems.,"Chính yếu, Cốt lõi, Quan trọng nhất","principal, paramount, pivotal","subsidiary, peripheral, trivial"
catholic,adjective,c2,/ˈkæθlɪk/,/ˈkæθlɪk/,"Universal, broad-minded","Her tastes were truly catholic, ranging from classical music to heavy metal, and from obscure films to blockbuster movies.","Phổ quát, Rộng lượng, Khoan dung","eclectic, comprehensive, all-encompassing","parochial, provincial, insular"
chicanery,noun,c2,/ʃɪˈkeɪnəri/,/ʃɪˈkeɪnəri/,"Trickery, deception by knowingly false arguments","The legal team used every trick and bit of chicanery to delay the proceedings, hoping the plaintiff would give up.","Ngụy biện, Mánh khóe, Thủ đoạn","sophistry, duplicity, subterfuge","probity, candor, veracity"
circumscribe,verb,c2,/ˌsɜːkəmˈskraɪb/,/ˌsɜːrkəmˈskraɪb/,"Strictly limit a role, range of activity, or area; in math, to be constructed around so as to touch as many points as possible",The new city ordinance will circumscribe the areas where street vendors can operate.,"Ngoại tiếp, Giới hạn, Hạn chế","restrict, confine, delimit","liberate, unfetter, amplify"
clamber,verb,c2,/ˈklæmbə/,/ˈklæmbər/,"Climb awkwardly or with difficulty, scramble",The children had to clamber over the rocks to reach the hidden cove.,"Bò lên, Trèo chống, Leo trèo","scramble, scale, ascend","descend, plummet, glide"
cloying,adjective,c2,/ˈklɔɪɪŋ/,/ˈklɔɪɪŋ/,Disgustingly or distastefully sweet,Her overly sweet performance was so cloying that many in the audience found it unbearable.,"Ngọt lừ, Ngọt khé, Ngọt gắt","saccharine, mawkish, treacly","acerbic, pungent, austere"
coagulate,verb,c2,/kəʊˈæɡjəleɪt/,/koʊˈæɡjəleɪt/,Cause a liquid to become solid or semisolid,"The blood began to coagulate minutes after the cut, forming a protective scab.","Đông đặc, Làm đông, Vón cục","congeal, solidify, curdle","liquefy, fluidize, disperse"
coda,noun,c2,/ˈkəʊdə/,/ˈkoʊdə/,"Final part of a musical composition; an ending, esp. one that sums up what has come before","The piece ended with a quiet, reflective coda that left the audience in a thoughtful silence.","Khúc vĩ thanh, Phần kết, Tổng kết","denouement, epilogue, peroration","prologue, exordium, inception"
coffer,noun,c2,/ˈkɒfə/,/ˈkɑːfər/,"Chest for storing valuables; financial resources, a treasury",The nation's coffer was nearly depleted after years of excessive spending.,"Rương, Ngân khố, Quỹ","treasury, exchequer, fisc","indigence, penury, destitution"
collude,verb,c2,/kəˈluːd/,/kəˈluːd/,Conspire; cooperate for illegal or fraudulent purposes,The two companies were accused of colluding to fix prices and gain an unfair market advantage.,"Thông đồng, Đồng lõa, Cấu kết","conspire, connive, machinate","expose, thwart, counteract"
compendium,noun,c2,/kəmˈpɛndiəm/,/kəmˈpɛndiəm/,Concise but complete summary; a list or collection,"The book was a compendium of all the known facts about deep-sea creatures, complete with illustrations.","Tổng hợp, Tuyển tập, Sổ tay","epitome, digest, anthology","prolixity, disarray, dissertation"
complaisant,adjective,c2,/kəmˈpleɪzənt/,/kəmˈpleɪzənt/,Eager to please; cheerfully complying,"She was known for her complaisant nature, always willing to accommodate others' requests without complaint.","Dễ tính, Chiều chuộng, Dễ dãi","obsequious, deferential, acquiescent","recalcitrant, obdurate, intransigent"
confound,verb,c2,/kənˈfaʊnd/,/kənˈfaʊnd/,"Confuse, frustrate; mix up or make worse",The sudden plot twist was designed to confound the audience's expectations.,"Làm bối rối, Làm thất bại, Gây hoang mang","Perplex, Baffle, Disconcert","Clarify, Elucidate, Resolve"
connote,verb,c2,/kəˈnəʊt/,/kəˈnoʊt/,"Suggest or imply in addition to the precise, literal meaning","The color red can connote passion, anger, or danger depending on the context.","Gợi lên, Hàm ý, Ngụ ý","imply, evoke, intimate","denote, explicate, specify"
contraries,noun,c2,/ˈkɒntrəriz/,/ˈkɑːntreriz/,Things that are opposing; either of two opposite things,Light and darkness are often seen as fundamental contraries in literature.,"Đối lập, Trái ngược, Mâu thuẫn","dichotomies, polarities, antitheses","congruities, correspondences, analogues"
contrite,adjective,c2,/kənˈtraɪt/,/kənˈtraɪt/,Remorseful; feeling sorry for one's offenses or sins,"After realizing his mistake, the student was truly contrite and apologized to his teacher.","Hối lỗi, Ăn năn, Sám hối","penitent, remorseful, repentant","unrepentant, obdurate, callous"
contumacious,adjective,c2,/ˌkɒntʃuˈmeɪʃəs/,/ˌkɑːntuˈmeɪʃəs/,Rebellious; stubbornly disobedient,"The contumacious witness refused to answer any questions, despite the judge's warnings.","Ngang bướng, Kháng lệnh, Bất tuân","recalcitrant, intransigent, obdurate","amenable, compliant, acquiescent"
convoke,verb,c2,/kənˈvəʊk/,/kənˈvoʊk/,"Call together, as to a meeting",The committee decided to convoke an emergency session to discuss the new policy.,"Triệu tập, Triệu hồi, Thỉnh triệu","convene, summon, assemble","disperse, adjourn, dissolve"
cosset,verb,c2,/ˈkɒsɪt/,/ˈkɑːsɪt/,"Treat as a pet, pamper",The doting grandmother would cosset her grandchild with treats and endless affection.,"Nuông chiều, Cưng chiều, Chiều chuộng","mollycoddle, indulge, pamper","neglect, abuse, mistreat"
coterie,noun,c2,/ˈkəʊtəri/,/ˈkoʊtəri/,"Close or exclusive group, clique",The professor had a small coterie of devoted students who followed his every lecture.,"Nhóm thân cận, Phe cánh, Nhóm riêng","clique, cabal, faction","populace, multitude, electorate"
cupidity,noun,c2,/kjuːˈpɪdɪti/,/kjuːˈpɪdəti/,"Greed, great or excessive desire",His cupidity for wealth drove him to make many questionable business decisions.,"Tham lam, Lòng tham, Hám lợi","avarice, rapacity, covetousness","altruism, selflessness, philanthropy"
curmudgeon,noun,c2,/kɜːˈmʌdʒən/,/kərˈmʌdʒən/,"Bad-tempered, difficult person; grouch","Despite his grumpy exterior, the old curmudgeon secretly cared for his neighbors.","khó tính, cáu kỉnh, gắt gỏng","misanthrope, churl, crank","philanthropist, altruist, optimist"
declaim,verb,c2,/dɪˈkleɪm/,/dɪˈkleɪm/,"Speak in an impassioned, pompous, or oratorical manner; give a formal speech",The orator began to declaim passionately about the injustices of the current system.,"Hùng biện, Diễn thuyết, Giảng thuyết","harangue, orate, pontificate","mutter, whisper, hedge"
declivity,noun,c2,/dɪˈklɪvɪti/,/dɪˈklɪvɪɾi/,Downward slope,The path led down a steep declivity to the riverbank below.,"Dốc xuống, Độ dốc xuống, Đường dốc xuống","descent, gradient, declination","ascent, acclivity, elevation"
delimit,verb,c2,/dɪˈlɪmɪt/,/dɪˈlɪmɪɾ/,"Fix, mark, or define the boundaries of",The treaty aimed to delimit the disputed border between the two countries.,"Phân định, Vạch ranh giới, Khoanh vùng","delineate, circumscribe, demarcate","amalgamate, conflate, permeate"
demagogue,noun,c2,/ˈdɛməɡɒɡ/,/ˈdɛməɡɑːɡ/,A leader who lies and gains power by arousing the passions and especially prejudices of the people,The demagogue exploited public fears to gain political power.,"Kẻ mị dân, Người mị dân, Kẻ kích động quần chúng","agitator, rabble-rouser, inciter","statesman, unifier, conciliator"
demur,verb,c2,/dɪˈmɜː/,/dɪˈmɜːr/,"Show reluctance or object, especially for moral reasons",She demurred at the suggestion that she take on more responsibilities without a raise.,"Ngần ngại, Băn khoăn, Phản đối","scruple, balk, dissent","assent, acquiesce, concur"
desultory,adjective,c2,/dɪˈsʌltəri/,/ˈdɛsəltɔri/,"Lacking consistency or order, disconnected, sporadic; going off topic","His desultory remarks confused the audience, as he kept changing topics without clear transitions.","Lan man, rời rạc, tản mạn","sporadic, erratic, disjointed","systematic, coherent, methodical"
diaphanous,adjective,c2,/daɪˈæfənəs/,/daɪˈæfənəs/,"Very sheer, fine, translucent",The ballerina wore a diaphanous skirt that seemed to float around her as she spun.,"Mỏng manh, trong mờ, xuyên thấu","gossamer, pellucid, ethereal","opaque, impenetrable, turbid"
dichotomy,noun,c2,/daɪˈkɒtəmi/,/daɪˈkɑːtəmi/,Division into two parts or into two contradictory groups,The dichotomy between wealth and poverty is particularly stark in large cities.,"Sự phân đôi, Sự đối lập, Tính lưỡng nguyên","polarity, bifurcation, contradiction","homogeneity, unity, cohesion"
dictum,noun,c2,/ˈdɪktəm/,/ˈdɪktəm/,Formal or authoritative pronouncement; saying or proverb,The ancient philosopher's dictum 'know thyself' is still relevant today.,"Châm ngôn, Lời giáo huấn, Ngạn ngữ","edict, axiom, maxim","conjecture, supposition, insinuation"
diffident,adjective,c2,/ˈdɪfɪdənt/,/ˈdɪfɪdənt/,"Lacking confidence, shy","Despite her brilliant ideas, she remained diffident in meetings, rarely speaking up.","Tự ti, Nhút nhút, Rụt rè","reticent, self-effacing, unassuming","audacious, assertive, self-assured"
diffuse,verb,c2,/dɪˈfjuːz/,/dɪˈfjuːz/,"Spread widely, disseminate (verb); dispersed, widely spread out, or wordy and going off-topic (adj)",The pleasant aroma of freshly baked bread began to diffuse throughout the entire house.,"Khuếch tán, Lan truyền, Dài dòng","Disseminate, Pervade, Propagate","Concentrated, Consolidate, Concise"
dilate,verb,c2,/daɪˈleɪt/,/daɪˈleɪt/,"To become wider or make wider, cause to expand; to speak or write at length, elaborate upon","The bright light caused the cat's pupils to contract, and in darkness, they would dilate.","giãn ra, mở rộng, diễn giải","distend, amplify, expatiate","constrict, truncate, curtail"
dilatory,adjective,c2,/ˈdɪlətəri/,/ˈdɪlətɔːri/,"Slow, late; procrastinating or stalling for time",The government's dilatory response to the crisis drew heavy criticism from the public.,"Chậm trễ, Trì hoãn, Chần chừ","procrastinating, tardy, remiss","prompt, expeditious, alacritous"
dilettante,noun,c2,/ˌdɪlɪˈtænt/,/ˌdɪləˈtɑːnt/,Person who takes up an art or activity for amusement only or in a superficial way,"He was a mere dilettante in the world of classical music, lacking any true depth of knowledge.","Người nghiệp dư, Người chơi tài tử, Người làm chơi","Dabbler, Tyro, Smatterer","Connoisseur, Virtuoso, Maestro"
dirge,noun,c2,/dɜːdʒ/,/dɜrdʒ/,A funeral or mourning song or poem,The choir sang a mournful dirge at the memorial service for the fallen soldiers.,"Tang ca, Bài bi ca, Bài hát tang lễ","lament, elegy, threnody","paean, dithyramb, epithalamium"
discomfiting,adjective,c2,/dɪsˈkʌmfɪtɪŋ/,/dɪsˈkʌmfɪtɪŋ/,"Disconcerting, confusing, frustrating",His discomfiting questions about her past made her want to leave the party.,"Gây bối rối, Khó xử, Gây hoang mang","unnerving, disconcerting, perturbing","reassuring, comforting, calming"
discordant,adjective,c2,/dɪsˈkɔːdnt/,/dɪsˈkɔːrdnt/,"Harsh or inharmonious in sound; disagreeing, incongruous",The discordant sounds from the amateur band jarred the ears of the concertgoers.,"Lạc điệu, Bất hòa, Chói tai","cacophonous, dissonant, incongruous","harmonious, euphonious, concordant"
discrete,adjective,c2,/dɪˈskriːt/,/dɪˈskriːt/,"Separate, distinct, detached, existing as individual parts","The project was broken down into several discrete tasks, each with its own deadline.","Riêng biệt, Tách rời, Rời rạc","distinct, disparate, fragmented","continuous, integrated, cohesive"
disparage,verb,c2,/dɪˈspærɪdʒ/,/dɪˈspærɪdʒ/,"Belittle, put down; bring shame upon, discredit","It is unwise to disparage your competitors publicly, as it can reflect poorly on your own company.","Hạ thấp, gièm pha, bôi nhọ","denigrate, vilify, decry","laud, extol, commend"
disparate,adjective,c2,/ˈdɪspərət/,/ˈdɪspərət/,"Distinct, different","The team comprised individuals with disparate backgrounds and skill sets, yet they worked effectively together.","khác biệt, riêng biệt, không đồng nhất","heterogeneous, divergent, incongruous","homogeneous, congruous, coherent"
dissemble,verb,c2,/dɪˈsembəl/,/dɪˈsembəl/,"Mislead, conceal the truth, put on a false appearance of","He tried to dissemble his true intentions, but his nervous glances betrayed him.","Che giấu, giả bộ, lừa dối","Feign, Prevaricate, Dissimulate","Disclose, Divulge, Avow"
dissolution,noun,c2,/ˌdɪsəˈluːʃən/,/ˌdɪsəˈluːʃən/,"Dissolving, the state of having been dissolved; breaking bonds or breaking up of a group of people; death, disintegration; sinking into extreme hedonism, vice, and degradation",The dissolution of the old empire led to the formation of many new nations.,"Sự hòa tan, Tan rã, Sa đọa","disintegration, demise, degradation","cohesion, consolidation, integration"
distaff,noun,c2,/ˈdɪstɑːf/,/ˈdɪstæf/,"Female, esp. relating to the maternal side of the family; women or women's work; a staff that holds wool or flax for spinning",The company's leadership had traditionally been dominated by the distaff side of the founding family.,"Nữ giới, Phụ nữ, Roi se sợi","feminine, matriarchal, gynocentric","masculine, patriarchal, androcentric"
distend,verb,c2,/dɪˈstend/,/dɪˈstend/,"Swell, expand, stretch, bloat",A poor diet can cause the abdomen to distend painfully.,"Phình ra, Trướng, Căng phồng","engorge, dilate, tumefy","constrict, compress, atrophy"
dither,verb,c2,/ˈdɪðə/,/ˈdɪðər/,Act indecisively (verb); a state of fear or trembling excitement,"She continued to dither over her career choices, unable to make a firm decision.","Do dự, Lưỡng lự, Chần chừ","vacillate, waver, falter","resolve, determine, commit"
diurnal,adjective,c2,/daɪˈɜːnl/,/daɪˈɜːrnl/,Occurring every day; happening in the daytime (rather than at night),"Most birds are diurnal, meaning they are active during the day and sleep at night.","Hoạt động ban ngày, Hàng ngày, Thuộc ban ngày","quotidian, circadian, daylight","nocturnal, crepuscular, vespertine"
doctrinaire,adjective,c2,/ˌdɒktrɪˈnɛə/,/ˌdɑːktrɪˈnɛr/,"Person who applies doctrine in an impractical or rigid and close-minded way (noun); merely theoretical, impractical, or fanatical about other people accepting one's ideas (adj)",His doctrinaire approach to economic policy left no room for alternative solutions or compromise.,"Giáo điều, Lý thuyết suông, Cứng nhắc","dogmatic, ideologue, uncompromising","pragmatic, flexible, open-minded"
doff,verb,c2,/dɒf/,/dɑːf/,"Take off (such as clothes), put aside; remove one's hat as a gesture",He paused to doff his hat as a sign of respect before entering the church.,"Cởi, Bỏ mũ, Ngả mũ","divest, shed, strip","don, clothe, array"
dovetail,verb,c2,/ˈdʌvteɪl/,/ˈdʌvteɪl/,Join or fit together,"The two companies' strategies dovetailed perfectly, creating a powerful new alliance.","Mộng đuôi cá, Ăn khớp, Hòa hợp","integrate, coalesce, harmonize","diverge, disintegrate, dissociate"
droll,adjective,c2,/drəʊl/,/droʊl/,Funny in an odd way,The comedian's droll observations about everyday life kept the audience chuckling throughout his set.,"khôi hài, kỳ cục, ngộ nghĩnh","wry, facetious, quirky","solemn, grave, earnest"
dupe,verb,c2,/djuːp/,/duːp/,Person who is easily fooled or used (noun); to fool or exploit (verb),The scammer attempted to dupe unsuspecting investors into buying fake shares.,"Lừa gạt, Lợi dụng, Người bị lừa","Hoodwink, Bamboozle, Cozen","Undeceive, Enlighten, Disabuse"
duplicity,noun,c2,/djuːˈplɪsɪti/,/duːˈplɪsɪti/,"Deceit, double-dealing, acting in two different ways for the purpose of deception",His duplicity was exposed when it was revealed he had been secretly working for the competitor.,"hai mặt, lật lọng, gian trá","perfidy, mendacity, chicanery","probity, veracity, candor"
dyspeptic,adjective,c2,/dɪsˈpeptɪk/,/dɪsˈpeptɪk/,"Grumpy, pessimistic, irritable; suffering from dyspepsia (indigestion)",The dyspeptic old man constantly complained about the quality of the service.,"Khó chịu, cau có, bi quan","cantankerous, churlish, morose","sanguine, genial, equable"
ebullient,adjective,c2,/ɪˈbʊliənt/,/ɪˈbʊljənt/,"Very enthusiastic, lively, excited; bubbling as though being boiled",Her ebullient spirit and infectious laugh always brightened the room.,"Hào hứng, Sôi nổi, Phấn khích","exuberant, effervescent, vivacious","apathetic, languid, phlegmatic"
echelon,noun,c2,/ˈɛʃəlɒn/,/ˈɛʃəlɑːn/,"A level, rank or grade; the people at that level",Promotions often take years to achieve when climbing to the highest echelon of the corporate ladder.,"Cấp bậc, Thứ bậc, Hàng ngũ","stratum, cadre, tier","homogeneity, proletariat, anarchy"
edify,verb,c2,/ˈɛdɪfaɪ/,/ˈɛdɪfaɪ/,"Uplift, enlighten, instruct or improve in a spiritual or moral way",The goal of the documentary was to edify the public about the importance of environmental conservation.,"khai sáng, giáo huấn, dạy dỗ","enlighten, uplift, cultivate","corrupt, debase, degrade"
effigy,noun,c2,/ˈɛfɪdʒi/,/ˈɛfɪdʒi/,"Representation or image of a person, esp. a crude facsimile used to mock a hated person",Protesters carried an effigy of the unpopular politician through the streets.,"Tượng nộm, Hình nộm, Hình nhân","caricature, travesty, simulacrum","original, archetype, entity"
effrontery,noun,c2,/ɪˈfrʌntəri/,/ɪˈfrʌntəri/,Shameless boldness,His effrontery in questioning the judge's decision earned him a stern rebuke.,"Trơ tráo, Mặt dày, Vô liêm sỉ","audacity, impudence, temerity","deference, diffidence, modesty"
egress,noun,c2,/ˈiːɡrɛs/,/ˈiːɡrɛs/,An exit or the action of exiting,The building's emergency egress was clearly marked for all occupants.,"Lối ra, Sự đi ra, Lối thoát","Departure, Outflow, Issue","Ingress, Arrival, Inflow"
elegy,noun,c2,/ˈɛlɪdʒi/,/ˈɛlɪdʒi/,"Song or poem of sorrow, esp. for a deceased person","The poet composed a beautiful elegy for his fallen comrades, honoring their sacrifice.","Văn điếu, Bi ca, Bài điếu","lament, dirge, threnody","paean, panegyric, ode"
emaciate,verb,c2,/ɪˈmeɪʃieɪt/,/ɪˈmeɪʃieɪt/,"Make abnormally thin, cause to physically waste away",The prolonged hunger strike caused the prisoner to emaciate to a shocking degree.,"Gầy rộc, Suy kiệt, Hốc hác","wither, atrophy, languish","invigorate, fortify, flourish"
encomium,noun,c2,/ɛnˈkəʊmiəm/,/ɛnˈkoʊmiəm/,"Warm, glowing praise, esp. a formal expression of praise","The valedictorian delivered a moving encomium to her teachers, praising their dedication and guidance.","Tán dương, Ca tụng, Biểu dương","Panegyric, Laudation, Extolment","Censure, Denunciation, Obloquy"
endemic,adjective,c2,/ɛnˈdɛmɪk/,/ɛnˈdɛmɪk/,"Native, local; natural, specific to, or confined to a particular place","Malaria is endemic to tropical and subtropical regions of the world, meaning it is regularly found there.","Đặc hữu, Bản địa, Địa phương","indigenous, autochthonous, peculiar","ubiquitous, pervasive, pandemic"
engender,verb,c2,/ɪnˈdʒɛndə/,/ɪnˈdʒɛndər/,"Produce, give rise to, cause to exist; procreate",The new policy is likely to engender considerable debate among the public.,"Gây ra, Tạo ra, Sản sinh ra","elicit, instigate, generate","quell, stifle, suppress"
